file	fn	site_line	messages
src/iface/interface/ipv6.rs	get_source_address_ipv6	31	call to core[a8c6]::iter::adapters::filter::{impl#3}::count may panic: ;; call to core[a8c6]::iter::adapters::filter_map::{impl#2}::next may pan ;; call to core[a8c6]::iter::traits::iterator::Iterator::zip may panic: M ;; call to core[a8c6]::net::ip_addr::{impl#20}::is_loopback may panic: Mi ;; call to core[a8c6]::net::ip_addr::{impl#20}::is_multicast may panic: M ;; call to core[a8c6]::net::ip_addr::{impl#20}::is_unspecified may panic: ;; call to core[a8c6]::num::{impl#6}::leading_zeros may panic: MightPanic ;; call to core[a8c6]::option::{impl#0}::unwrap may panic: MightPanic(Tra ;; call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to core[a8c6]::slice::iter::{impl#166}::find_map may panic: Might ;; call to heapless[ea1e]::vec::{impl#36}::deref may panic: MightPanic(No
src/iface/interface/ipv6.rs	get_source_address_ipv6	98	call to core[a8c6]::iter::adapters::filter::{impl#3}::count may panic: ;; call to core[a8c6]::iter::adapters::filter_map::{impl#2}::next may pan ;; call to core[a8c6]::iter::traits::iterator::Iterator::zip may panic: M ;; call to core[a8c6]::net::ip_addr::{impl#20}::is_loopback may panic: Mi ;; call to core[a8c6]::net::ip_addr::{impl#20}::is_multicast may panic: M ;; call to core[a8c6]::net::ip_addr::{impl#20}::is_unspecified may panic: ;; call to core[a8c6]::num::{impl#6}::leading_zeros may panic: MightPanic ;; call to core[a8c6]::option::{impl#0}::unwrap may panic: MightPanic(Tra ;; call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to core[a8c6]::slice::iter::{impl#166}::find_map may panic: Might ;; call to heapless[ea1e]::vec::{impl#36}::deref may panic: MightPanic(No
src/iface/interface/ipv6.rs	process_hopbyhop	317	call to core[a8c6]::net::ip_addr::{impl#20}::is_multicast may panic: M ;; call to core[a8c6]::slice::iter::{impl#166}::next may panic: MightPani ;; call to heapless[ea1e]::vec::{impl#11}::into_iter may panic: MightPani ;; refinement type error
src/iface/interface/mod.rs	new	212	rustc aborted; quarantine candidate
src/iface/interface/mod.rs	socket_egress	814	rustc aborted; quarantine candidate
src/iface/interface/mod.rs	check_ip_addrs	920	rustc aborted; quarantine candidate
src/iface/interface/mod.rs	lookup_hardware_addr	1122	rustc aborted; quarantine candidate
src/iface/interface/mod.rs	dispatch_ip	1245	rustc aborted; quarantine candidate
src/iface/interface/mod.rs	dispatch_ip	1281	rustc aborted; quarantine candidate
src/iface/interface/mod.rs	dispatch_ip	1308	rustc aborted; quarantine candidate
src/iface/interface/sixlowpan.rs	process_sixlowpan	81	call to core[a8c6]::array::{impl#15}::index may panic: MightPanic(Tran ;; call to heapless[ea1e]::vec::{impl#36}::deref may panic: MightPanic(No
src/iface/interface/sixlowpan.rs	dispatch_sixlowpan	303	call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to xarxa_driver[1613]::TxToken::consume may panic: MightPanic(Not ;; call to xarxa_driver[1613]::TxToken::set_meta may panic: MightPanic(No ;; refinement type error
src/iface/interface/sixlowpan.rs	dispatch_sixlowpan	413	call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to xarxa_driver[1613]::TxToken::consume may panic: MightPanic(Not ;; call to xarxa_driver[1613]::TxToken::set_meta may panic: MightPanic(No ;; refinement type error
src/iface/interface/sixlowpan.rs	ipv6_to_sixlowpan	458	call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; refinement type error
src/iface/interface/sixlowpan.rs	ipv6_to_sixlowpan	460	call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; refinement type error
src/iface/interface/sixlowpan.rs	ipv6_to_sixlowpan	527	call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; refinement type error
src/iface/interface/sixlowpan.rs	ipv6_to_sixlowpan	532	call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; refinement type error
src/iface/interface/sixlowpan.rs	ipv6_to_sixlowpan	549	call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; refinement type error
src/iface/interface/sixlowpan.rs	decompress_ext_hdr	720	refinement type error
src/iface/interface/sixlowpan.rs	decompress_ext_hdr	732	refinement type error
src/iface/interface/sixlowpan.rs	decompress_ext_hdr	734	refinement type error
src/iface/interface/sixlowpan.rs	decompress_udp	771	arithmetic operation may underflow ;; call to xarxa_driver[1613]::{impl#2}::ignored may panic: MightPanic(No ;; refinement type error
src/iface/interface/sixlowpan.rs	decompress_udp	773	arithmetic operation may underflow ;; call to xarxa_driver[1613]::{impl#2}::ignored may panic: MightPanic(No ;; refinement type error
src/iface/interface/sixlowpan.rs	decompress_udp	773	arithmetic operation may underflow ;; call to xarxa_driver[1613]::{impl#2}::ignored may panic: MightPanic(No ;; refinement type error
src/iface/neighbor.rs	fill_with_expiration	131	call to core[a8c6]::cmp::PartialEq::ne may panic: MightPanic(Transitiv ;; call to core[a8c6]::iter::traits::iterator::Iterator::min_by_key may p ;; call to core[a8c6]::option::{impl#0}::expect may panic: MightPanic(Tra ;; call to core[a8c6]::option::{impl#0}::unwrap may panic: MightPanic(Tra ;; call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to heapless[ea1e]::linear_map::{impl#1}::insert may panic: MightP ;; call to heapless[ea1e]::linear_map::{impl#1}::iter may panic: MightPan ;; call to heapless[ea1e]::linear_map::{impl#1}::remove may panic: MightP
src/iface/neighbor.rs	fill_with_expiration	143	call to core[a8c6]::cmp::PartialEq::ne may panic: MightPanic(Transitiv ;; call to core[a8c6]::iter::traits::iterator::Iterator::min_by_key may p ;; call to core[a8c6]::option::{impl#0}::expect may panic: MightPanic(Tra ;; call to core[a8c6]::option::{impl#0}::unwrap may panic: MightPanic(Tra ;; call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to heapless[ea1e]::linear_map::{impl#1}::insert may panic: MightP ;; call to heapless[ea1e]::linear_map::{impl#1}::iter may panic: MightPan ;; call to heapless[ea1e]::linear_map::{impl#1}::remove may panic: MightP
src/iface/neighbor.rs	lookup	150	call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to heapless[ea1e]::linear_map::{impl#1}::get may panic: MightPani
src/iface/neighbor.rs	lookup	150	call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to heapless[ea1e]::linear_map::{impl#1}::get may panic: MightPani
src/iface/packet.rs	emit_payload	90	arithmetic operation may underflow ;; call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to core[a8c6]::result::{impl#0}::unwrap may panic: MightPanic(Tra ;; refinement type error
src/iface/packet.rs	emit_payload	105	arithmetic operation may underflow ;; call to core[a8c6]::panicking::panic may panic: MightPanic(NoMIRAvaila ;; call to core[a8c6]::result::{impl#0}::unwrap may panic: MightPanic(Tra ;; refinement type error
