/Users/andrew/research/fluxopt-evaluation/work/baseline/examples/nrf52840/target/thumbv7em-none-eabi/release/usb_ethernet  :
section                size        addr
.vector_table           256           0
.text                138124         256
.rodata               18936      138380
.data                    80   536870912
.gnu.sgstubs              0      157408
.bss                  34004   536870992
.uninit                1024   536904996
.defmt                  393           0
.debug_loc           965888           0
.debug_abbrev         85052           0
.debug_info         2564692           0
.debug_aranges        43592           0
.debug_ranges        342048           0
.debug_str          2153087           0
.comment                153           0
.ARM.attributes          50           0
.debug_frame         103952           0
.debug_line          671227           0
Total               7122558


