/Users/andrew/research/fluxopt-evaluation/work/modified/examples/nrf52840/target/thumbv7em-none-eabi/release/usb_ethernet  :
section                size        addr
.vector_table           256           0
.text                137620         256
.rodata               18924      137876
.data                    80   536870912
.gnu.sgstubs              0      156896
.bss                  34004   536870992
.uninit                1024   536904996
.defmt                  393           0
.debug_loc           962963           0
.debug_abbrev         85250           0
.debug_info         2582939           0
.debug_aranges        43432           0
.debug_ranges        341928           0
.debug_str          2153062           0
.comment                153           0
.ARM.attributes          50           0
.debug_frame         103468           0
.debug_line          669946           0
Total               7135492


